Feature_ID	S1	S2	S3	S4	S5	S6	S7	S8
gene_0001	42	8	303	157	216	194	271	183
gene_0002	7	113	317	232	12	54	43	363
gene_0003	321	375	220	183	394	29	105	400
gene_0004	317	110	376	185	289	389	188	292
gene_0005	242	90	367	247	302	229	345	328
gene_0006	273	165	344	266	100	298	58	42
gene_0007	141	293	143	302	169	55	189	147
gene_0008	232	281	111	132	76	54	317	61
gene_0009	279	72	381	303	51	196	85	230
gene_0010	201	11	83	115	351	6	113	379
gene_0011	177	8	193	251	98	18	38	135
gene_0012	235	151	110	46	52	284	270	332
gene_0013	215	84	6	227	390	175	336	212
gene_0014	352	211	35	354	327	381	122	279
gene_0015	395	285	312	281	26	145	55	12
gene_0016	286	373	220	127	84	338	40	172
gene_0017	287	241	230	367	139	2	173	193
gene_0018	205	104	348	15	88	335	230	381
gene_0019	141	245	305	352	276	368	284	90
gene_0020	44	115	31	254	193	397	9	344
gene_0021	163	208	178	154	140	174	82	198
gene_0022	341	244	387	283	130	275	142	353
gene_0023	135	74	257	189	56	317	236	61
gene_0024	18	132	400	56	126	390	288	324
gene_0025	40	141	102	185	289	75	318	399
gene_0026	202	312	347	184	150	40	319	356
gene_0027	61	381	93	9	69	312	349	71
gene_0028	363	151	291	394	24	22	308	389
gene_0029	68	179	47	81	109	105	218	162
gene_0030	223	339	185	272	333	112	381	287
gene_0031	337	326	66	182	194	396	158	20
gene_0032	107	388	333	273	82	107	161	208
gene_0033	376	218	241	82	301	212	187	125
gene_0034	228	88	204	188	294	255	8	274
gene_0035	93	225	97	338	395	220	32	233
gene_0036	195	130	29	377	17	215	199	179
gene_0037	73	308	32	384	301	263	237	277
gene_0038	216	242	351	74	328	158	60	317
gene_0039	101	177	400	159	137	360	145	220
gene_0040	378	11	112	342	291	287	78	32
