Name	Completeness	Contamination	Genome_Size	Contig_N50	GC_Content	Phylum
MAG_001	91.4	3.19	2407639	223292	48.8	Proteobacteria
MAG_002	86.3	2.13	2520977	121677	44.6	Bacteroidota
MAG_003	94.0	4.05	2838526	66520	52.1	Verrucomicrobiota
MAG_004	37.3	5.95	3654568	20211	49.5	Bacteroidota
MAG_005	91.4	0.58	4387733	154868	58.6	Bacteroidota
MAG_006	95.4	0.92	2617306	151587	54.9	Verrucomicrobiota
MAG_007	92.0	3.33	5386904	211745	41.0	Verrucomicrobiota
MAG_008	30.8	3.73	3307992	191237	57.3	Firmicutes
MAG_009	71.0	8.66	5565094	83481	51.3	Firmicutes
MAG_010	94.0	3.71	3074938	136178	44.8	Firmicutes
MAG_011	37.1	13.13	4431904	97161	54.3	Verrucomicrobiota
MAG_012	81.8	0.68	2585140	78762	46.6	Firmicutes
MAG_013	96.7	3.17	5538305	82605	55.1	Proteobacteria
MAG_014	94.4	0.82	2782270	137418	32.1	Proteobacteria
MAG_015	92.4	1.92	5965000	29123	35.8	Actinobacteriota
MAG_016	85.2	8.11	6415576	80986	54.7	Proteobacteria
MAG_017	65.2	2.28	2496126	54194	35.3	Bacteroidota
MAG_018	97.9	0.89	4165006	9073	35.1	Verrucomicrobiota
