Feature_ID	S1	S2	S3	S4	S5	S6	S7	S8
F1	327	57	12	379	140	125	114	71
F2	377	52	346	379	456	279	44	302
F3	216	16	15	47	111	119	258	308
F4	13	287	101	366	332	359	279	214
F5	112	229	301	142	414	445	3	388
F6	412	81	357	216	174	142	79	110
F7	490	390	172	52	47	194	49	183
F8	433	176	309	135	413	22	373	235
F9	274	63	498	472	193	40	282	150
F10	424	321	316	453	441	185	295	98
F11	360	35	23	338	116	395	148	40
F12	437	119	443	51	194	142	232	325
F13	427	186	83	189	181	107	343	136
F14	359	479	349	331	36	311	325	87
F15	273	373	125	83	236	194	138	473
F16	327	352	285	112	350	166	431	393
F17	397	28	117	420	16	412	161	205
F18	137	33	108	467	482	290	448	367
F19	0	0	0	0	0	0	0	0
F20	0	0	0	0	0	0	0	0
F1	327	57	12	379	140	125	114	71
