Assembly_ID	Contig_ID	Length
Assembly_A	Assembly_A_contig_1	-500
Assembly_A	Assembly_A_contig_2	77768
Assembly_A	Assembly_A_contig_3	43739
Assembly_A	Assembly_A_contig_4	33800
Assembly_A	Assembly_A_contig_5	25357
Assembly_A	Assembly_A_contig_6	23803
Assembly_A	Assembly_A_contig_7	12467
Assembly_A	Assembly_A_contig_8	12190
Assembly_A	Assembly_A_contig_9	11954
Assembly_A	Assembly_A_contig_10	11535
Assembly_A	Assembly_A_contig_11	10841
Assembly_A	Assembly_A_contig_12	10094
Assembly_A	Assembly_A_contig_13	9231
Assembly_A	Assembly_A_contig_14	8700
Assembly_A	Assembly_A_contig_15	8127
Assembly_A	Assembly_A_contig_16	8074
Assembly_A	Assembly_A_contig_17	7809
Assembly_A	Assembly_A_contig_18	7747
Assembly_A	Assembly_A_contig_19	7078
Assembly_A	Assembly_A_contig_20	7061
Assembly_A	Assembly_A_contig_21	7024
Assembly_A	Assembly_A_contig_22	6425
Assembly_A	Assembly_A_contig_23	6008
Assembly_A	Assembly_A_contig_24	5956
Assembly_A	Assembly_A_contig_25	5820
Assembly_A	Assembly_A_contig_26	5650
Assembly_A	Assembly_A_contig_27	5407
Assembly_A	Assembly_A_contig_28	5396
Assembly_A	Assembly_A_contig_29	5233
Assembly_A	Assembly_A_contig_30	5053
Assembly_A	Assembly_A_contig_31	5033
Assembly_A	Assembly_A_contig_32	4838
Assembly_A	Assembly_A_contig_33	4819
Assembly_A	Assembly_A_contig_34	4793
Assembly_A	Assembly_A_contig_35	4730
Assembly_A	Assembly_A_contig_36	4564
Assembly_A	Assembly_A_contig_37	4554
Assembly_A	Assembly_A_contig_38	4527
Assembly_A	Assembly_A_contig_39	4427
Assembly_A	Assembly_A_contig_40	4412
Assembly_A	Assembly_A_contig_41	4373
Assembly_A	Assembly_A_contig_42	4361
Assembly_A	Assembly_A_contig_43	4333
Assembly_A	Assembly_A_contig_44	4326
Assembly_A	Assembly_A_contig_45	4284
Assembly_A	Assembly_A_contig_46	4272
Assembly_A	Assembly_A_contig_47	4249
Assembly_A	Assembly_A_contig_48	4248
Assembly_A	Assembly_A_contig_49	4196
Assembly_A	Assembly_A_contig_50	4181
Assembly_A	Assembly_A_contig_51	4156
Assembly_A	Assembly_A_contig_52	4140
Assembly_A	Assembly_A_contig_53	4129
Assembly_A	Assembly_A_contig_54	4107
Assembly_A	Assembly_A_contig_55	4049
Assembly_A	Assembly_A_contig_56	3990
Assembly_A	Assembly_A_contig_57	3973
Assembly_A	Assembly_A_contig_58	3925
Assembly_A	Assembly_A_contig_59	3912
Assembly_A	Assembly_A_contig_60	3849
Assembly_A	Assembly_A_contig_61	3762
Assembly_A	Assembly_A_contig_62	3730
Assembly_A	Assembly_A_contig_63	3728
Assembly_A	Assembly_A_contig_64	3712
Assembly_A	Assembly_A_contig_65	3637
Assembly_A	Assembly_A_contig_66	3620
Assembly_A	Assembly_A_contig_67	3602
Assembly_A	Assembly_A_contig_68	3590
Assembly_A	Assembly_A_contig_69	3576
Assembly_A	Assembly_A_contig_70	3534
Assembly_A	Assembly_A_contig_71	3490
Assembly_A	Assembly_A_contig_72	3485
Assembly_A	Assembly_A_contig_73	3467
Assembly_A	Assembly_A_contig_74	3449
Assembly_A	Assembly_A_contig_75	3378
Assembly_A	Assembly_A_contig_76	3375
Assembly_A	Assembly_A_contig_77	3373
Assembly_A	Assembly_A_contig_78	3343
Assembly_A	Assembly_A_contig_79	3332
Assembly_A	Assembly_A_contig_80	3299
Assembly_A	Assembly_A_contig_81	3295
Assembly_A	Assembly_A_contig_82	3285
Assembly_A	Assembly_A_contig_83	3275
Assembly_A	Assembly_A_contig_84	3269
Assembly_A	Assembly_A_contig_85	3268
Assembly_A	Assembly_A_contig_86	3261
Assembly_A	Assembly_A_contig_87	3237
Assembly_A	Assembly_A_contig_88	3217
Assembly_A	Assembly_A_contig_89	3130
Assembly_A	Assembly_A_contig_90	3102
Assembly_A	Assembly_A_contig_91	3064
Assembly_A	Assembly_A_contig_92	3063
Assembly_A	Assembly_A_contig_93	3022
Assembly_A	Assembly_A_contig_94	3015
Assembly_A	Assembly_A_contig_95	2934
Assembly_A	Assembly_A_contig_96	2931
Assembly_A	Assembly_A_contig_97	2888
Assembly_A	Assembly_A_contig_98	2877
Assembly_A	Assembly_A_contig_99	2847
Assembly_A	Assembly_A_contig_100	2845
Assembly_A	Assembly_A_contig_101	2837
Assembly_A	Assembly_A_contig_102	2817
Assembly_A	Assembly_A_contig_103	2811
Assembly_A	Assembly_A_contig_104	2801
Assembly_A	Assembly_A_contig_105	2798
Assembly_A	Assembly_A_contig_106	2796
Assembly_A	Assembly_A_contig_107	2794
Assembly_A	Assembly_A_contig_108	2743
Assembly_A	Assembly_A_contig_109	2722
Assembly_A	Assembly_A_contig_110	2714
Assembly_A	Assembly_A_contig_111	2704
Assembly_A	Assembly_A_contig_112	2702
Assembly_A	Assembly_A_contig_113	2689
Assembly_A	Assembly_A_contig_114	2688
Assembly_A	Assembly_A_contig_115	2660
Assembly_A	Assembly_A_contig_116	2658
Assembly_A	Assembly_A_contig_117	2658
Assembly_A	Assembly_A_contig_118	2622
Assembly_A	Assembly_A_contig_119	2619
Assembly_A	Assembly_A_contig_120	2612
Assembly_A	Assembly_A_contig_121	2605
Assembly_A	Assembly_A_contig_122	2605
Assembly_A	Assembly_A_contig_123	2594
Assembly_A	Assembly_A_contig_124	2588
Assembly_A	Assembly_A_contig_125	2572
Assembly_A	Assembly_A_contig_126	2565
Assembly_A	Assembly_A_contig_127	2558
Assembly_A	Assembly_A_contig_128	2548
Assembly_A	Assembly_A_contig_129	2540
Assembly_A	Assembly_A_contig_130	2526
Assembly_A	Assembly_A_contig_131	2522
Assembly_A	Assembly_A_contig_132	2520
Assembly_A	Assembly_A_contig_133	2520
Assembly_A	Assembly_A_contig_134	2514
Assembly_A	Assembly_A_contig_135	2512
Assembly_A	Assembly_A_contig_136	2506
Assembly_A	Assembly_A_contig_137	2500
Assembly_B	Assembly_B_contig_1	22758
Assembly_B	Assembly_B_contig_2	18636
Assembly_B	Assembly_B_contig_3	16895
Assembly_B	Assembly_B_contig_4	14648
Assembly_B	Assembly_B_contig_5	14202
Assembly_B	Assembly_B_contig_6	13032
Assembly_B	Assembly_B_contig_7	12777
Assembly_B	Assembly_B_contig_8	12309
Assembly_B	Assembly_B_contig_9	11606
Assembly_B	Assembly_B_contig_10	9567
Assembly_B	Assembly_B_contig_11	7823
Assembly_B	Assembly_B_contig_12	6421
Assembly_B	Assembly_B_contig_13	5987
Assembly_B	Assembly_B_contig_14	5602
Assembly_B	Assembly_B_contig_15	5591
Assembly_B	Assembly_B_contig_16	5374
Assembly_B	Assembly_B_contig_17	5322
Assembly_B	Assembly_B_contig_18	4905
Assembly_B	Assembly_B_contig_19	4623
Assembly_B	Assembly_B_contig_20	4606
Assembly_B	Assembly_B_contig_21	4410
Assembly_B	Assembly_B_contig_22	4258
Assembly_B	Assembly_B_contig_23	4174
Assembly_B	Assembly_B_contig_24	4123
Assembly_B	Assembly_B_contig_25	3862
Assembly_B	Assembly_B_contig_26	3813
Assembly_B	Assembly_B_contig_27	3771
Assembly_B	Assembly_B_contig_28	3756
Assembly_B	Assembly_B_contig_29	3755
Assembly_B	Assembly_B_contig_30	3737
Assembly_B	Assembly_B_contig_31	3674
Assembly_B	Assembly_B_contig_32	3667
Assembly_B	Assembly_B_contig_33	3618
Assembly_B	Assembly_B_contig_34	3572
