Name	Completeness	Genome_Size	Contig_N50	GC_Content	Phylum
MAG_001	91.4	2407639	223292	48.8	Proteobacteria
MAG_002	86.3	2520977	121677	44.6	Bacteroidota
MAG_003	94.0	2838526	66520	52.1	Verrucomicrobiota
MAG_004	37.3	3654568	20211	49.5	Bacteroidota
MAG_005	91.4	4387733	154868	58.6	Bacteroidota
MAG_006	95.4	2617306	151587	54.9	Verrucomicrobiota
MAG_007	92.0	5386904	211745	41.0	Verrucomicrobiota
MAG_008	30.8	3307992	191237	57.3	Firmicutes
MAG_009	71.0	5565094	83481	51.3	Firmicutes
MAG_010	94.0	3074938	136178	44.8	Firmicutes
MAG_011	37.1	4431904	97161	54.3	Verrucomicrobiota
MAG_012	81.8	2585140	78762	46.6	Firmicutes
MAG_013	96.7	5538305	82605	55.1	Proteobacteria
MAG_014	94.4	2782270	137418	32.1	Proteobacteria
MAG_015	92.4	5965000	29123	35.8	Actinobacteriota
MAG_016	85.2	6415576	80986	54.7	Proteobacteria
MAG_017	65.2	2496126	54194	35.3	Bacteroidota
MAG_018	97.9	4165006	9073	35.1	Verrucomicrobiota
