Feature_ID	Domain	Class	Order	Family	Genus
F1	Bacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
F2	Bacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
F3	Bacteria	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
F4	Bacteria	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
F5	Bacteria	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
F6	Bacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
F7	Bacteria	Cyanobacteriia	Synechococcales	Synechococcaceae	Synechococcus
F8	Bacteria	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia
F9	Archaea	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
F10	Bacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Unclassified
F11	Bacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
F12	Bacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
F13	Bacteria	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
F14	Bacteria	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
F15	Bacteria	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
F16	Bacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
F17	Bacteria	Cyanobacteriia	Synechococcales	Synechococcaceae	Synechococcus
F18	Bacteria	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia
F19	Archaea	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
F20	Bacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Unclassified
